   1123 の	助詞,接続助詞,*,*,の,の,*
      2 抜	名詞,普通名詞,*,*,抜,ぬき,代表表記:抜/ぬき カテゴリ:抽象物
      2 発掘	名詞,サ変名詞,*,*,発掘,はっくつ,代表表記:発掘/はっくつ カテゴリ:抽象物 ドメイン:科学・技術
      2 八百万	名詞,数詞,*,*,*,*,*
      2 白き	形容詞,*,イ形容詞アウオ段,文語連体形,白い,しろき,代表表記:白い/しろい 名詞派生:白/しろ
      2 白い	形容詞,*,イ形容詞アウオ段,基本形,白い,しろい,代表表記:白い/しろい 名詞派生:白/しろ
      2 伯	名詞,普通名詞,*,*,*,*,*
      2 這い上がる	動詞,*,子音動詞ラ行,基本形,這い上がる,はいあがる,代表表記:這い上がる/はいあがる
      2 買った	動詞,*,子音動詞ワ行,タ形,買う,かった,代表表記:買う/かう ドメイン:家庭・暮らし;ビジネス 反義:動詞:売る/うる
      2 廃	名詞,普通名詞,*,*,廃,はい,代表表記:廃/はい 漢字読み:音 カテゴリ:抽象物
      2 馬	名詞,普通名詞,*,*,馬,うま,代表表記:馬/うま 漢字読み:訓 カテゴリ:動物
      2 破滅	名詞,サ変名詞,*,*,破滅,はめつ,代表表記:破滅/はめつ カテゴリ:抽象物
      2 波	名詞,普通名詞,*,*,波,なみ,代表表記:波/なみ 漢字読み:訓 カテゴリ:抽象物
      2 年間	接尾辞,名詞性名詞助数辞,*,*,年間,ねんかん,代表表記:年間/ねんかん 準内容語 カテゴリ:時間
      2 入れる	動詞,*,母音動詞,基本形,入れる,いれる,代表表記:入れる/いれる 自他動詞:自:入る/はいる 反義:動詞:出す/だす
      2 入れて	動詞,*,母音動詞,タ系連用テ形,入れる,いれて,代表表記:入れる/いれる 自他動詞:自:入る/はいる 反義:動詞:出す/だす
      2 入れた	動詞,*,母音動詞,タ形,入れる,いれた,代表表記:入れる/いれる 自他動詞:自:入る/はいる 反義:動詞:出す/だす
      2 入り	動詞,*,子音動詞ラ行,基本連用形,入る,はいり,代表表記:入る/はいる 自他動詞:他:入れる/いれる 反義:動詞:出る/でる
      2 日	名詞,地名,*,*,日,にち,連語 地名:国:略称:日本 代表表記:日/にち
      2 肉	名詞,普通名詞,*,*,肉,にく,代表表記:肉/にく 漢字読み:音 カテゴリ:動物-部位;人工物-食べ物 ドメイン:料理・食事
      2 内	接尾辞,名詞性名詞接尾辞,*,*,内,ない,代表表記:内/ない
      2 突破	名詞,サ変名詞,*,*,突破,とっぱ,代表表記:突破/とっぱ カテゴリ:抽象物
      2 突然	副詞,*,*,*,突然,とつぜん,代表表記:突然/とつぜん
      2 独裁	名詞,サ変名詞,*,*,独裁,どくさい,代表表記:独裁/どくさい カテゴリ:抽象物 ドメイン:政治
      2 特別な	形容詞,*,ナノ形容詞,ダ列基本連体形,特別だ,とくべつな,代表表記:特別だ/とくべつだ
      2 童貞	名詞,普通名詞,*,*,童貞,どうてい,自動獲得:Wikipedia
      2 憧れて	動詞,*,母音動詞,タ系連用テ形,憧れる,あこがれて,代表表記:憧れる/あこがれる
      2 導師	名詞,普通名詞,*,*,導師,導師,自動獲得:テキスト 意味分類:人:1.000
      2 導く	動詞,*,子音動詞カ行,基本形,導く,みちびく,代表表記:導く/みちびく
      2 堂	名詞,普通名詞,*,*,堂,どう,代表表記:堂/どう 漢字読み:音 カテゴリ:場所-施設
      2 同棲	名詞,サ変名詞,*,*,同棲,どうせい,代表表記:同棲/どうせい カテゴリ:抽象物 ドメイン:家庭・暮らし
      2 動画	名詞,普通名詞,*,*,動画,どうが,代表表記:動画/どうが カテゴリ:抽象物 ドメイン:文化・芸術
      2 頭	名詞,普通名詞,*,*,頭,あたま,代表表記:頭/あたま 漢字読み:訓 カテゴリ:動物-部位
      2 灯	名詞,普通名詞,*,*,灯,とう,代表表記:灯/とう 漢字読み:音 カテゴリ:人工物-その他
      2 湯	名詞,普通名詞,*,*,湯,ゆ,代表表記:湯/ゆ 漢字読み:訓 カテゴリ:自然物
      2 桃	名詞,普通名詞,*,*,桃,もも,代表表記:桃/もも 漢字読み:訓 カテゴリ:植物;人工物-食べ物 ドメイン:料理・食事
      2 島	名詞,普通名詞,*,*,島,しま,代表表記:島/しま 漢字読み:訓 地名末尾 カテゴリ:場所-自然
      2 刀剣	名詞,普通名詞,*,*,刀剣,とうけん,代表表記:刀剣/とうけん カテゴリ:人工物-その他
      2 倒す	動詞,*,子音動詞サ行,基本形,倒す,たおす,代表表記:倒す/たおす 付属動詞候補（基本） 自他動詞:自:倒れる/たおれる
      2 倒し	動詞,*,子音動詞サ行,基本連用形,倒す,たおし,代表表記:倒す/たおす 付属動詞候補（基本） 自他動詞:自:倒れる/たおれる
      2 都	接尾辞,名詞性特殊接尾辞,*,*,都,と,代表表記:都/と 住所末尾 準内容語 カテゴリ:組織・団体;場所-その他
      2 登場	名詞,サ変名詞,*,*,登場,とうじょう,代表表記:登場/とうじょう カテゴリ:抽象物 反義:名詞-サ変名詞:退場/たいじょう
      2 兎	名詞,普通名詞,*,*,兎,うさぎ,代表表記:兎/うさぎ カテゴリ:動物
      2 電気	名詞,普通名詞,*,*,電気,でんき,代表表記:電気/でんき カテゴリ:抽象物 ドメイン:家庭・暮らし;科学・技術
      2 転職	名詞,サ変名詞,*,*,転職,てんしょく,代表表記:転職/てんしょく カテゴリ:抽象物 ドメイン:ビジネス
      2 転	動詞,*,ザ変動詞,語幹,転ずる,てん,代表表記:転ずる/てんずる 自他動詞:同形 同義:動詞:転じる/てんじる
      2 天災	名詞,普通名詞,*,*,天災,てんさい,代表表記:天災/てんさい カテゴリ:抽象物
      2 天空	名詞,普通名詞,*,*,天空,てんくう,代表表記:天空/てんくう カテゴリ:場所-自然
      2 鉄	名詞,普通名詞,*,*,鉄,てつ,代表表記:鉄/てつ 漢字読み:音 カテゴリ:自然物
      2 的に	接尾辞,形容詞性名詞接尾辞,ナ形容詞,ダ列基本連用形,的だ,てきに,代表表記:的だ/てきだ 準内容語 カテゴリ:抽象物
      2 弟	名詞,普通名詞,*,*,弟,おとうと,代表表記:弟/おとうと 漢字読み:訓 カテゴリ:人 ドメイン:家庭・暮らし
      2 庭	名詞,普通名詞,*,*,庭,にわ,代表表記:庭/にわ 漢字読み:訓 カテゴリ:場所-施設
      2 帝都	名詞,普通名詞,*,*,帝都,ていと,代表表記:帝都/ていと カテゴリ:場所-その他 ドメイン:政治
      2 帝	名詞,普通名詞,*,*,帝,みかど,代表表記:帝/みかど カテゴリ:人 ドメイン:政治
      2 直し	動詞,*,子音動詞サ行,基本連用形,直す,なおし,代表表記:直す/なおす 付属動詞候補（基本） 自他動詞:自:直る/なおる
      2 超人	名詞,普通名詞,*,*,超人,ちょうじん,代表表記:超人/ちょうじん カテゴリ:人
      2 超	接頭辞,ナ形容詞接頭辞,*,*,超,ちょう,代表表記:超/ちょう
      2 町	名詞,普通名詞,*,*,町,まち,代表表記:町/まち 漢字読み:訓 住所末尾 カテゴリ:組織・団体;場所-その他 ドメイン:政治
      2 宙	名詞,普通名詞,*,*,宙,ちゅう,代表表記:宙/ちゅう 漢字読み:音 カテゴリ:場所-その他
      2 中年	名詞,普通名詞,*,*,中年,ちゅうねん,代表表記:中年/ちゅうねん カテゴリ:人;時間
      2 中卒	名詞,普通名詞,*,*,中卒,ちゅうそつ,代表表記:中卒/ちゅうそつ カテゴリ:抽象物 ドメイン:教育・学習
      2 中	接頭辞,名詞接頭辞,*,*,中,ちゅう,代表表記:中/ちゅう 内容語
      2 地下	名詞,普通名詞,*,*,地下,ちか,代表表記:地下/ちか カテゴリ:場所-施設部位
      2 男装	名詞,サ変名詞,*,*,男装,だんそう,代表表記:男装/だんそう カテゴリ:抽象物
      2 断り	動詞,*,子音動詞ラ行,基本連用形,断る,ことわり,代表表記:断る/ことわる
      2 断	名詞,普通名詞,*,*,断,だん,代表表記:断/だん 漢字読み:音 カテゴリ:抽象物
      2 弾丸	名詞,普通名詞,*,*,弾丸,だんがん,代表表記:弾丸/だんがん カテゴリ:人工物-その他 ドメイン:政治
      2 団長	名詞,普通名詞,*,*,団長,だんちょう,代表表記:団長/だんちょう 人名末尾 カテゴリ:人
      2 探求	名詞,サ変名詞,*,*,探求,たんきゅう,代表表記:探求/たんきゅう カテゴリ:抽象物
      2 探し	動詞,*,子音動詞サ行,基本連用形,探す,さがし,代表表記:探す/さがす
      2 担任	名詞,サ変名詞,*,*,担任,たんにん,代表表記:担任/たんにん カテゴリ:抽象物 ドメイン:教育・学習
      2 宅	名詞,普通名詞,*,*,宅,たく,代表表記:宅/たく 漢字読み:音 カテゴリ:場所-施設 ドメイン:家庭・暮らし
      2 大陸	名詞,普通名詞,*,*,大陸,たいりく,代表表記:大陸/たいりく カテゴリ:場所-自然
      2 大国	名詞,普通名詞,*,*,大国,たいこく,代表表記:大国/たいこく カテゴリ:場所-その他
      2 大好きです	形容詞,*,ナノ形容詞,デス列基本形,大好きだ,だいすきです,代表表記:大好きだ/だいすきだ
      2 代わり	名詞,副詞的名詞,*,*,代わり,かわり,代表表記:代わり/かわり
      2 駄	名詞,人名,*,*,*,*,*
      2 太郎	名詞,人名,*,*,太郎,たろう,人名:日本:名:45:0.00106
      2 太子	名詞,地名,*,*,太子,たいし,代表表記:太子/たいし 地名:日本:大阪府:町
      2 多	名詞,普通名詞,*,*,多,た,代表表記:多/た 漢字読み:音 カテゴリ:数量 換言:+N:Nが多い
      2 他	接頭辞,名詞接頭辞,*,*,他,た,代表表記:他/た 内容語
      2 村	名詞,普通名詞,*,*,村,むら,代表表記:村/むら 漢字読み:訓 住所末尾 カテゴリ:組織・団体;場所-その他 ドメイン:政治
      2 卒業	名詞,サ変名詞,*,*,卒業,そつぎょう,代表表記:卒業/そつぎょう カテゴリ:抽象物 ドメイン:教育・学習 反義:名詞-サ変名詞:入学/にゅうがく
      2 続く	動詞,*,子音動詞カ行,基本形,続く,つづく,代表表記:続く/つづく 自他動詞:他:続ける/つづける
      2 属性	名詞,普通名詞,*,*,属性,ぞくせい,代表表記:属性/ぞくせい カテゴリ:抽象物
      2 足り	動詞,*,母音動詞,基本連用形,足りる,たり,代表表記:足りる/たりる 自他動詞:他:足す/たす
      2 贈る	動詞,*,子音動詞ラ行,基本形,贈る,おくる,代表表記:贈る/おくる
      2 蔵	名詞,普通名詞,*,*,蔵,くら,代表表記:蔵/くら 漢字読み:訓 カテゴリ:場所-施設
      2 送る	動詞,*,子音動詞ラ行,基本形,送る,おくる,代表表記:送る/おくる 反義:動詞:迎える/むかえる
      2 装備	名詞,サ変名詞,*,*,装備,そうび,代表表記:装備/そうび カテゴリ:人工物-その他
      2 槍	名詞,普通名詞,*,*,槍,やり,代表表記:槍/やり カテゴリ:人工物-その他
      2 早	形容詞,*,イ形容詞アウオ段,語幹,早い,はや,代表表記:早い/はやい 反義:形容詞:遅い/おそい
      2 操	名詞,人名,*,*,操,みさお,人名:日本:名:534:0.00029
      2 掃除	名詞,サ変名詞,*,*,掃除,そうじ,代表表記:掃除/そうじ カテゴリ:抽象物 ドメイン:家庭・暮らし
      2 想像	名詞,サ変名詞,*,*,想像,そうぞう,代表表記:想像/そうぞう 補文ト カテゴリ:抽象物
      2 想	動詞,*,子音動詞ワ行,語幹,想う,おも,代表表記:思う/おもう 補文ト
      2 喪失	名詞,サ変名詞,*,*,喪失,そうしつ,代表表記:喪失/そうしつ カテゴリ:抽象物
      2 創作	名詞,サ変名詞,*,*,創作,そうさく,代表表記:創作/そうさく カテゴリ:抽象物
      2 阻止	名詞,サ変名詞,*,*,阻止,そし,代表表記:阻止/そし カテゴリ:抽象物
      2 組織	名詞,サ変名詞,*,*,組織,そしき,代表表記:組織/そしき カテゴリ:組織・団体
      2 組	名詞,普通名詞,*,*,組,くみ,代表表記:組/くみ 漢字読み:訓 カテゴリ:抽象物
      2 全裸	名詞,普通名詞,*,*,全裸,ぜんら,代表表記:全裸/ぜんら カテゴリ:抽象物
      2 前線	名詞,普通名詞,*,*,前線,ぜんせん,代表表記:前線/ぜんせん カテゴリ:場所-機能
      2 前	接頭辞,名詞接頭辞,*,*,前,ぜん,代表表記:前/ぜん 内容語
      2 閃	動詞,*,子音動詞カ行,語幹,閃く,ひらめ,代表表記:閃く/ひらめく
      2 選択肢	名詞,普通名詞,*,*,選択肢,せんたくし,代表表記:選択肢/せんたくし カテゴリ:抽象物
      2 潜在	名詞,サ変名詞,*,*,潜在,せんざい,代表表記:潜在/せんざい カテゴリ:抽象物 反義:名詞-サ変名詞:顕在/けんざい
      2 戦力	名詞,普通名詞,*,*,戦力,せんりょく,代表表記:戦力/せんりょく カテゴリ:抽象物 ドメイン:スポーツ;ビジネス;政治
      2 千	名詞,数詞,*,*,千,せん,カテゴリ:数量
      2 設定	名詞,サ変名詞,*,*,設定,せってい,代表表記:設定/せってい カテゴリ:抽象物
      2 隻	接尾辞,名詞性名詞助数辞,*,*,隻,せき,代表表記:隻/せき 準内容語
      2 青	名詞,普通名詞,*,*,青,あお,代表表記:青/あお 漢字読み:訓 カテゴリ:色
      2 聖人	名詞,普通名詞,*,*,聖人,せいじん,代表表記:聖人/せいじん カテゴリ:人 ドメイン:文化・芸術
      2 生贄	名詞,普通名詞,*,*,生贄,いけにえ,自動獲得:Wikipedia Wikipedia上位語:動物/どうぶつ
      2 生物	名詞,普通名詞,*,*,生物,せいぶつ,代表表記:生物/せいぶつ カテゴリ:動物;植物
      2 生存	名詞,サ変名詞,*,*,生存,せいぞん,代表表記:生存/せいぞん カテゴリ:抽象物
      2 生身	名詞,普通名詞,*,*,生身,なまみ,代表表記:生身/なまみ カテゴリ:動物
      2 生まれ	動詞,*,母音動詞,基本連用形,生まれる,うまれ,代表表記:生まれる/うまれる 自他動詞:他:生む/うむ 反義:動詞:死ぬ/しぬ
      2 清純	形容詞,*,ナ形容詞,語幹,清純だ,せいじゅん,代表表記:清純だ/せいじゅんだ
      2 成した	動詞,*,子音動詞サ行,タ形,成す,なした,代表表記:成す/なす 自他動詞:自:成る/なる
      2 勢い	副詞,*,*,*,勢い,いきおい,代表表記:勢い/いきおい
      2 制	名詞,普通名詞,*,*,制,せい,代表表記:制/せい 漢字読み:音 カテゴリ:抽象物 ドメイン:政治
      2 世話	名詞,サ変名詞,*,*,世話,せわ,代表表記:世話/せわ カテゴリ:抽象物
      2 水	名詞,普通名詞,*,*,水,すい,代表表記:水/すい 漢字読み:音 カテゴリ:自然物
      2 厨二	名詞,普通名詞,*,*,厨二,厨二,自動獲得:Wikipedia 読み不明 Wikipediaリダイレクト:中二病
      2 人類	名詞,普通名詞,*,*,人類,じんるい,代表表記:人類/じんるい カテゴリ:人
      2 人魚	名詞,普通名詞,*,*,人魚,にんぎょ,代表表記:人魚/にんぎょ カテゴリ:動物
      2 身	名詞,普通名詞,*,*,身,み,代表表記:身/み 漢字読み:訓 カテゴリ:動物-部位
      2 親	名詞,普通名詞,*,*,親,おや,代表表記:親/おや 漢字読み:訓 カテゴリ:人 ドメイン:家庭・暮らし
      2 神託	名詞,普通名詞,*,*,神託,しんたく,自動獲得:Wikipedia
      2 真田	名詞,人名,*,*,真田,さなだ,人名:日本:姓:309:0.00089
      2 新米	名詞,普通名詞,*,*,新米,しんまい,代表表記:新米/しんまい カテゴリ:植物;人工物-食べ物 ドメイン:料理・食事
      2 振り	動詞,*,子音動詞ラ行,基本連用形,振る,ふり,代表表記:振る/ふる
